EN,TC
Are you 18 years of age or older?,
"Under the law of Hong Kong, intoxicating liquor must not be sold or supplied to a minor in the course of business.",根據香港法律，不得在業務過程中，向未成年人售賣或供應令人醺醉的酒類。
YES,是
NO,否
Promotion Terms & Conditions,推廣條款及細則
BYOB: Bring Your Own Boss - Hong Kong Beer promotion,BYOB：Bring Your Own Boss — Hong Kong Beer 推廣活動
"By continuing, you confirm you understand and accept the terms for this promotion.",繼續即表示你確認已理解並接受本推廣活動之條款。
This promotion is open to persons aged 18+ only. Valid photo ID may be required at redemption.,本推廣活動僅限18歲或以上人士參加。換領時或需出示附有照片之有效身份證明文件。
"Invite creation must be completed through this BYOB page using a real email, selected venue, topic, and event time.",邀請必須透過本 BYOB 頁面完成，並需填寫真實電郵地址、選定場地、主題及活動時間。
"Free beer redemption is checked manually against HK Beer records and your event details (including attendee email, selected venue, and event context).",免費啤酒換領將由 HK Beer 根據紀錄及你的活動詳情（包括出席者電郵、選定場地及活動內容）進行人手核實。
"One free beer redemption per verified attendee, per eligible invite, unless otherwise stated by HK Beer.",每位經核實之出席者就每份合資格邀請可換領免費啤酒一杯，除非 HK Beer 另有說明。
Redemption is available only at participating venues and only while stocks last. Venue availability and service times apply.,換領僅限於參與場地，先到先得，送完即止。場地供應情況及服務時間以現場為準。
"Offer is non-transferable, non-exchangeable, and not redeemable for cash or credit.",此優惠不可轉讓、不可兌換，亦不可兌換現金或信用額。
"HK Beer may verify entries and may refuse, suspend, or cancel claims that are incomplete, misleading, duplicate, abusive, or not compliant with these terms.",HK Beer 有權核實參加資格，並可拒絕、暫停或取消任何不完整、具誤導性、重複、濫用或不符合本條款之申請。
"HK Beer may amend, pause, or end this promotion where reasonably required, including stock limits, operational constraints, or legal requirements.",HK Beer 有權在合理需要的情況下修改、暫停或終止本推廣活動，包括但不限於庫存限制、營運需要或法律要求。
"Please drink responsibly. Under Hong Kong law, intoxicating liquor must not be sold or supplied to a minor in the course of business.",請理性飲酒。根據香港法律，不得在業務過程中，向未成年人售賣或供應令人醺醉的酒類。
I am 18 or older and I agree to the Promotion Terms & Conditions above.,本人已年滿18歲，並同意以上推廣條款及細則。
Decline,拒絕
Agree & Continue,同意並繼續
Kickoff at 3am. Work at 9am. One fix? Bring your own boss. Foster team bonding with a fresh local craft brew.,"3點決賽，但9點返工，點部署？ Bring Your Own Boss！
想團隊有精神，齊隊本地手工啤！"
Boss Name,腦細名
e.g. Sarah J.,"例如：陳大文
"
MEET UP FOR THE FINAL,"約佢現場啤啤佢
"
BRING BEER TO YOUR BOSS,"拎走支啤，同佢啤啤
"
Meeting Topic,"會議主題
"
(the corporate-sounding cover story),（聽起來很正式的掩飾）
Select meeting topic,選擇會議內容
Q3 Planning Sync,第三季度計劃
Budgeting Discussion,全年計劃預算
Culture & Alignment Check-in,文化計劃進度
Cross-Team Strategy Review,跨部門策略整合
H2 Priorities Catch-up,下半年度計劃進度
,
Bar / Venue,酒吧/餐廳
Click and Collect,領取你的啤酒
,
"(required, this will be used for invite creation and promotion redemption)",（必填，此資料將用於建立邀請及換領推廣優惠）
Select your venue,選擇場地
Central: Belly and the Beer @bellyandthebeerhk,中環: Belly and the Beer@bellyandthebeerhk
Wan Chai: Hoppy Junction @hoppyjunctiontap.hk,灣仔: Hoppy Junction @hoppyjunctiontap.hk
Prince Edward: HANDS @handsbarhk,太子: HANDS @handsbarhk
Kennedy Town: Smash'd Burger @smashd.hk,堅尼地城：Smash’d Burger @smashd.hk
,
Choose the actual bar. This venue is used for invite creation and redemption check-off lists.,選擇實際場地。此場地將用於建立邀請及換領核對名單
"Arrive at our brewery and collect two beers. One for you. One for your boss.\n\nAddress: Unit A, Ground Floor, Wang Kwong Industrial Building, 45 Hung To Rd, Kwun Tong\n\nOpening Hours: Wednesday — Friday 4 to 6pm",到達我們的釀酒廠，領取兩杯啤酒。一杯給你，一杯給你老闆。\n\n地址：觀塘鴻圖道45號宏光工業大廈地下A室\n\開放時間：星期三至五 下午4時至6時
📍 View on Google Maps →,📍 於Google Maps查看 →
🎟 Promo Debug Link →,🎟 推廣優惠除錯連結 →
🎟 Promo Debug: {{promoCode}} →,🎟 推廣優惠除錯：{{promoCode}} →
Time,日期時間
"Monday, 20 July 2026, 03:00 am - 05:00am",2026年7月20日星期一  凌晨03:00 - 05:00
Select Calendar,"選擇日程
"
Google Calendar,Google 日曆
Desktop App,桌面應用程式
(.ics),（.ics）
Outlook.com,Outlook.com
(personal),（個人）
Outlook,Outlook
(work/school),（工作/學校）
"Not sure which Outlook? If your email ends in @outlook.com or @hotmail.com, pick 'personal.' If it's a company email through Microsoft 365, pick 'work/school' - picking the wrong one is what causes the sign-in loop.",不確定選擇哪一個 Outlook？如果您的電郵是以 @outlook.com 或 @hotmail.com 結尾，請選擇「個人 (Personal)」；如果是公司使用的 Microsoft 365 電郵，請選擇「工作或學校 (Work/School)」 - 選錯了通常就是導致陷入「無限登入循環」的原因。
Want it to open straight in the Outlook desktop app instead of the browser? Pick 'Desktop App (.ics)' - it skips the web sign-in entirely and opens whatever calendar app is set as default on your computer.,想直接在 Outlook 電腦版 App 開啟，而不用瀏覽器打開？請選擇「電腦版 App (.ics)」- 這樣能完全跳過網頁登入步驟，並直接用您電腦設定的預設行事曆 App 開啟。
Add Event,建立會議
"This opens your calendar's own 'new event' screen, the time already blocked, the venue already selected, and the message already written. You just add the guest and hit save, the same way you normally would. We do not have access to your own calendar. We do not collect or sell personal identifying information.","點擊後將直接開啟您行事曆的「新增行程」頁面，時間已為您預留，地點已選定，內容訊息亦已寫妥。您只需像平常一樣，加入受邀對象並點擊儲存即可。

我們無法存取您的個人行事曆，亦絕不收集或轉售任何個人識別資料。"
Redemption is via QR Code automatically generated from BYOB page.,只需出示由 BYOB 網頁自動產生的 QR Code，即可進行兌換。
HONG KONG BEER CO  ·  BRINGING PEOPLE TOGETHER SINCE 1995,HONG KONG BEER CO · 自1995年起連繫人與人
HONG KONG BEER · DRINK RESPONSIBLY · YOUR BOSS CAN SEE THIS BEFORE THEY CLICK,HONG KONG BEER · 請理性飲酒 · 你老闆點開前就會見到呢個
Please select a meeting topic before creating the event.,請先選擇會議主題再建立活動。
Please write your custom meeting topic.,請填寫你的自訂會議主題。
Please select a venue before creating the event.,請先選擇場地再建立活動。
Opened in Google Calendar. Hit Save there to block your time and send the invite.,已於 Google 日曆開啟。請按「儲存」以鎖定時間並發送邀請。
"Opened in Outlook.com. Hit Send there to block your time and send the invite. If it loops to sign-in, use the work/school option or .ics.",已於 Outlook.com 開啟。請按「傳送」以鎖定時間並發送邀請。如頁面跳轉至登入畫面，請改用工作/學校選項或 .ics。
"Opened in Outlook (work/school). Hit Send there to block your time and send the invite. If it loops to sign-in, use Outlook.com personal or .ics.",已於 Outlook（工作/學校）開啟。請按「傳送」以鎖定時間並發送邀請。如頁面跳轉至登入畫面，請改用 Outlook.com 個人版或 .ics。
