english,chinese
Are you 18 years of age or older?,
"Under the law of Hong Kong, intoxicating liquor must not be sold or supplied to a minor in the course of business.",根據香港法律，不得在業務過程中，向未成年人售賣或供應令人醺醉的酒類。
YES,
NO,
Promotion Terms & Conditions,
BYOB: Bring Your Own Boss - Hong Kong Beer promotion,
"By continuing, you confirm you understand and accept the terms for this promotion.",
This promotion is open to persons aged 18+ only. Valid photo ID may be required at redemption.,
"Invite creation must be completed through this BYOB page using a real email, selected venue, topic, and event time.",
"Free beer redemption is checked manually against HK Beer records and your event details (including attendee email, selected venue, and event context).",
"One free beer redemption per verified attendee, per eligible invite, unless otherwise stated by HK Beer.",
Redemption is available only at participating venues and only while stocks last. Venue availability and service times apply.,
"Offer is non-transferable, non-exchangeable, and not redeemable for cash or credit.",
"HK Beer may verify entries and may refuse, suspend, or cancel claims that are incomplete, misleading, duplicate, abusive, or not compliant with these terms.",
"HK Beer may amend, pause, or end this promotion where reasonably required, including stock limits, operational constraints, or legal requirements.",
"Please drink responsibly. Under Hong Kong law, intoxicating liquor must not be sold or supplied to a minor in the course of business.",
I am 18 or older and I agree to the Promotion Terms & Conditions above.,
Decline,
Agree & Continue,
Kickoff at 3am. Work at 9am. One fix? Bring your own boss. Foster team bonding with a fresh local craft brew.,
Boss Name,
e.g. Sarah J.,
MEET UP FOR THE FINAL,
BRING BEER TO YOUR BOSS,
Meeting Topic,
(the corporate-sounding cover story),
Select meeting topic,
Q3 Planning Sync,
Budgeting Discussion,
Culture & Alignment Check-in,
Cross-Team Strategy Review,
H2 Priorities Catch-up,
Write your own meeting topic,
Bar / Venue,
Click and Collect,
(required),
"(required, this will be used for invite creation and promotion redemption)",
Select your venue,
Central: Belly and the Beer @bellyandthebeerhk,
Wan Chai: Hoppy Junction @hoppyjunctiontap.hk,
Prince Edward: HANDS @handsbarhk,
Kennedy Town: Smash'd Burger @smashd.hk,
KT HK Beer Co,
Choose the actual bar. This venue is used for invite creation and redemption check-off lists.,
"Arrive at our brewery and collect two beers. One for you. One for your boss.\n\nAddress: Unit A, Ground Floor, Wang Kwong Industrial Building, 45 Hung To Rd, Kwun Tong\n\nOpening Hours: Wednesday — Friday 4 to 6pm",
📍 View on Google Maps →,
🎟 Promo Debug Link →,
🎟 Promo Debug: {{promoCode}} →,
Time,
"Monday, 20 July 2026, 03:00 am - 05:00am",
Select Calendar,
Google Calendar,
Desktop App,
(.ics),
Outlook.com,
(personal),
Outlook,
(work/school),
"Not sure which Outlook? If your email ends in @outlook.com or @hotmail.com, pick 'personal.' If it's a company email through Microsoft 365, pick 'work/school' - picking the wrong one is what causes the sign-in loop.",
Want it to open straight in the Outlook desktop app instead of the browser? Pick 'Desktop App (.ics)' - it skips the web sign-in entirely and opens whatever calendar app is set as default on your computer.,
Add Event,
"This opens your calendar's own 'new event' screen, the time already blocked, the venue already selected, and the message already written. You just add the guest and hit save, the same way you normally would. We do not have access to your own calendar. We do not collect or sell personal identifying information.",
Redemption is via QR Code automatically generated from BYOB page.,
HONG KONG BEER CO  ·  BRINGING PEOPLE TOGETHER SINCE 1995,
HONG KONG BEER · DRINK RESPONSIBLY · YOUR BOSS CAN SEE THIS BEFORE THEY CLICK,
Please select a meeting topic before creating the event.,
Please write your custom meeting topic.,
Please select a venue before creating the event.,
Opened in Google Calendar. Hit Save there to block your time and send the invite.,
"Opened in Outlook.com. Hit Send there to block your time and send the invite. If it loops to sign-in, use the work/school option or .ics.",
"Opened in Outlook (work/school). Hit Send there to block your time and send the invite. If it loops to sign-in, use Outlook.com personal or .ics.",
Downloaded .ics. Open it in your desktop calendar app and save to send invites.,
Unable to convert QR image to base64.,
{{topic}} — hosted by Hong Kong Beer,
Hi {{bossName}},
Hope this email finds you well. I'd like to discuss {{topic}} virtually during the World Cup final window.,
We can use this session to align on next steps for {{topic}}.,
"No venue needed, just join online and we'll keep it focused.",
HK Beer note: Promo eligibility requires a participating bar venue selection.,
See you online.,
"Hope this email finds you well. I'd like to discuss {{topic}} out of the office at {{venue}} at 3am. It just so happens to be the World Cup final. What a coincidence, am I right?",
We can talk about how we're moving forward on {{topic}}.,
We probably won't. But we can.,
"Oh by the way, because you're coming with me, we'll both get a free Hong Kong Beer.",
Food for thought.,
HK Beer: Show this invite at the bar to claim your free beer.,
See you then.,
Promo QR,
byob-invite.ics,
